avgfee,avgfeerate,avgtxsize,blockhash,height,ins,maxfee,maxfeerate,maxtxsize,medianfee,mediantime,mediantxsize,minfee,minfeerate,mintxsize,outs,subsidy,swtotal_size,swtotal_weight,swtxs,time,total_out,total_size,total_weight,totalfee,txs,utxo_increase,utxo_size_inc
"['  ""avgfee"": 12069,\n']","['  ""avgfeerate"": 15,\n']","['  ""avgtxsize"": 1000,\n']","['  ""blockhash"": ""0000000000000000000590fc0f3eba193a278534220b2b37e9849e1a770ca959"",\n']",['    60\n'],"['  ""ins"": 6342,\n']","['  ""maxfee"": 1400000,\n']","['  ""maxfeerate"": 358,\n']","['  ""maxtxsize"": 86228,\n']","['  ""medianfee"": 1512,\n']","['  ""mediantime"": 1631331088,\n']","['  ""mediantxsize"": 247,\n']","['  ""minfee"": 233,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 6156,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 964323,\n']","['  ""swtotal_weight"": 2749806,\n']","['  ""swtxs"": 939,\n']","['  ""time"": 1631333672,\n']","['  ""total_out"": 4960138797209,\n']","['  ""total_size"": 1276027,\n']","['  ""total_weight"": 3996622,\n']","['  ""totalfee"": 15388640,\n']","['  ""txs"": 1276,\n']","['  ""utxo_increase"": -186,\n']","['  ""utxo_size_inc"": -15021\n']"
"['  ""avgfee"": 2078,\n']","['  ""avgfeerate"": 2,\n']","['  ""avgtxsize"": 956,\n']","['  ""blockhash"": ""00000000000000000002f39baabb00ffeb47dbdb425d5077baa62c47482b7e92"",\n']",['    3\n'],"['  ""ins"": 2435,\n']","['  ""maxfee"": 153000,\n']","['  ""maxfeerate"": 251,\n']","['  ""maxtxsize"": 46044,\n']","['  ""medianfee"": 336,\n']","['  ""mediantime"": 1631331729,\n']","['  ""mediantxsize"": 256,\n']","['  ""minfee"": 110,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 189,\n']","['  ""outs"": 1697,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 285112,\n']","['  ""swtotal_weight"": 679348,\n']","['  ""swtxs"": 423,\n']","['  ""time"": 1631333702,\n']","['  ""total_out"": 21643550568,\n']","['  ""total_size"": 473624,\n']","['  ""total_weight"": 1433396,\n']","['  ""totalfee"": 1028918,\n']","['  ""txs"": 496,\n']","['  ""utxo_increase"": -738,\n']","['  ""utxo_size_inc"": -47985\n']"
"['  ""avgfee"": 4082,\n']","['  ""avgfeerate"": 8,\n']","['  ""avgtxsize"": 627,\n']","['  ""blockhash"": ""00000000000000000001993b6b5e4e3dac1187820bccc5ab324d6f01c05d6146"",\n']",['    11\n'],"['  ""ins"": 729,\n']","['  ""maxfee"": 59549,\n']","['  ""maxfeerate"": 316,\n']","['  ""maxtxsize"": 22613,\n']","['  ""medianfee"": 1363,\n']","['  ""mediantime"": 1631332460,\n']","['  ""mediantxsize"": 248,\n']","['  ""minfee"": 139,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 654,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 104154,\n']","['  ""swtotal_weight"": 240300,\n']","['  ""swtxs"": 186,\n']","['  ""time"": 1631333827,\n']","['  ""total_out"": 2291721978694,\n']","['  ""total_size"": 159487,\n']","['  ""total_weight"": 461632,\n']","['  ""totalfee"": 1036999,\n']","['  ""txs"": 255,\n']","['  ""utxo_increase"": -75,\n']","['  ""utxo_size_inc"": -3969\n']"
"['  ""avgfee"": 25372,\n']","['  ""avgfeerate"": 35,\n']","['  ""avgtxsize"": 981,\n']","['  ""blockhash"": ""000000000000000000055646f272b32b2b844137f215163229aed0099f2a6640"",\n']",['    71\n'],"['  ""ins"": 716,\n']","['  ""maxfee"": 2546496,\n']","['  ""maxfeerate"": 202,\n']","['  ""maxtxsize"": 35443,\n']","['  ""medianfee"": 1486,\n']","['  ""mediantime"": 1631332591,\n']","['  ""mediantxsize"": 249,\n']","['  ""minfee"": 110,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 386,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 80471,\n']","['  ""swtotal_weight"": 181253,\n']","['  ""swtxs"": 90,\n']","['  ""time"": 1631333877,\n']","['  ""total_out"": 2264155720920,\n']","['  ""total_size"": 128543,\n']","['  ""total_weight"": 373541,\n']","['  ""totalfee"": 3323862,\n']","['  ""txs"": 132,\n']","['  ""utxo_increase"": -330,\n']","['  ""utxo_size_inc"": -23618\n']"
"['  ""avgfee"": 5484,\n']","['  ""avgfeerate"": 11,\n']","['  ""avgtxsize"": 831,\n']","['  ""blockhash"": ""0000000000000000000e360e05cb9d7b238b95cc881726d0519e0449be361d9e"",\n']",['    13\n'],"['  ""ins"": 1174,\n']","['  ""maxfee"": 283320,\n']","['  ""maxfeerate"": 477,\n']","['  ""maxtxsize"": 53046,\n']","['  ""medianfee"": 1323,\n']","['  ""mediantime"": 1631332753,\n']","['  ""mediantxsize"": 254,\n']","['  ""minfee"": 193,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 1045,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 243558,\n']","['  ""swtotal_weight"": 532137,\n']","['  ""swtxs"": 254,\n']","['  ""time"": 1631334045,\n']","['  ""total_out"": 42637502244,\n']","['  ""total_size"": 265366,\n']","['  ""total_weight"": 619369,\n']","['  ""totalfee"": 1749708,\n']","['  ""txs"": 320,\n']","['  ""utxo_increase"": -129,\n']","['  ""utxo_size_inc"": -7715\n']"
"['  ""avgfee"": 4076,\n']","['  ""avgfeerate"": 10,\n']","['  ""avgtxsize"": 552,\n']","['  ""blockhash"": ""0000000000000000000add9a48ae518c8e1aab061d313cf8c07a69e860c7ec0b"",\n']",['    15\n'],"['  ""ins"": 1924,\n']","['  ""maxfee"": 140826,\n']","['  ""maxfeerate"": 160,\n']","['  ""maxtxsize"": 23237,\n']","['  ""medianfee"": 1101,\n']","['  ""mediantime"": 1631333672,\n']","['  ""mediantxsize"": 239,\n']","['  ""minfee"": 111,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 2337,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 318531,\n']","['  ""swtotal_weight"": 783009,\n']","['  ""swtxs"": 561,\n']","['  ""time"": 1631334474,\n']","['  ""total_out"": 79354950672,\n']","['  ""total_size"": 407791,\n']","['  ""total_weight"": 1140049,\n']","['  ""totalfee"": 3008389,\n']","['  ""txs"": 739,\n']","['  ""utxo_increase"": 413,\n']","['  ""utxo_size_inc"": 35140\n']"
"['  ""avgfee"": 7852,\n']","['  ""avgfeerate"": 15,\n']","['  ""avgtxsize"": 680,\n']","['  ""blockhash"": ""00000000000000000005975f6e8351d800c47eb3ec41b30586b001f382f5e47d"",\n']",['    57\n'],"['  ""ins"": 618,\n']","['  ""maxfee"": 173400,\n']","['  ""maxfeerate"": 192,\n']","['  ""maxtxsize"": 22173,\n']","['  ""medianfee"": 1275,\n']","['  ""mediantime"": 1631333702,\n']","['  ""mediantxsize"": 246,\n']","['  ""minfee"": 134,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 189,\n']","['  ""outs"": 996,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 97375,\n']","['  ""swtotal_weight"": 238306,\n']","['  ""swtxs"": 147,\n']","['  ""time"": 1631334600,\n']","['  ""total_out"": 2292983899306,\n']","['  ""total_size"": 140867,\n']","['  ""total_weight"": 412274,\n']","['  ""totalfee"": 1625392,\n']","['  ""txs"": 208,\n']","['  ""utxo_increase"": 378,\n']","['  ""utxo_size_inc"": 28800\n']"
"['  ""avgfee"": 8023,\n']","['  ""avgfeerate"": 16,\n']","['  ""avgtxsize"": 723,\n']","['  ""blockhash"": ""0000000000000000000a5f9662af95174b8ff46df4b7cbae4334283a1465dcb0"",\n']",['    54\n'],"['  ""ins"": 4141,\n']","['  ""maxfee"": 584712,\n']","['  ""maxfeerate"": 389,\n']","['  ""maxtxsize"": 72988,\n']","['  ""medianfee"": 1333,\n']","['  ""mediantime"": 1631333827,\n']","['  ""mediantxsize"": 248,\n']","['  ""minfee"": 122,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 6189,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 756243,\n']","['  ""swtotal_weight"": 1778025,\n']","['  ""swtxs"": 985,\n']","['  ""time"": 1631335351,\n']","['  ""total_out"": 7100723072452,\n']","['  ""total_size"": 969331,\n']","['  ""total_weight"": 2630377,\n']","['  ""totalfee"": 10752114,\n']","['  ""txs"": 1341,\n']","['  ""utxo_increase"": 2048,\n']","['  ""utxo_size_inc"": 156780\n']"
"['  ""avgfee"": 6225,\n']","['  ""avgfeerate"": 15,\n']","['  ""avgtxsize"": 562,\n']","['  ""blockhash"": ""0000000000000000000bd59e42336960925a4c465459b6208eebcb22ecfe0839"",\n']",['    49\n'],"['  ""ins"": 6130,\n']","['  ""maxfee"": 388224,\n']","['  ""maxfeerate"": 605,\n']","['  ""maxtxsize"": 61070,\n']","['  ""medianfee"": 1396,\n']","['  ""mediantime"": 1631333877,\n']","['  ""mediantxsize"": 226,\n']","['  ""minfee"": 220,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 9819,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 1008677,\n']","['  ""swtotal_weight"": 2493668,\n']","['  ""swtxs"": 1850,\n']","['  ""time"": 1631337023,\n']","['  ""total_out"": 5062345759872,\n']","['  ""total_size"": 1384758,\n']","['  ""total_weight"": 3997992,\n']","['  ""totalfee"": 15333181,\n']","['  ""txs"": 2464,\n']","['  ""utxo_increase"": 3689,\n']","['  ""utxo_size_inc"": 271862\n']"
"['  ""avgfee"": 3048,\n']","['  ""avgfeerate"": 5,\n']","['  ""avgtxsize"": 703,\n']","['  ""blockhash"": ""0000000000000000000190997c460412aab3ed2a260447c896f16f8a3e17dd87"",\n']",['    7\n'],"['  ""ins"": 2176,\n']","['  ""maxfee"": 164097,\n']","['  ""maxfeerate"": 155,\n']","['  ""maxtxsize"": 46079,\n']","['  ""medianfee"": 452,\n']","['  ""mediantime"": 1631334045,\n']","['  ""mediantxsize"": 283,\n']","['  ""minfee"": 110,\n']","['  ""minfeerate"": 1,\n']","['  ""mintxsize"": 188,\n']","['  ""outs"": 2852,\n']","['  ""subsidy"": 625000000,\n']","['  ""swtotal_size"": 375275,\n']","['  ""swtotal_weight"": 962582,\n']","['  ""swtxs"": 575,\n']","['  ""time"": 1631337205,\n']","['  ""total_out"": 133409776125,\n']","['  ""total_size"": 496257,\n']","['  ""total_weight"": 1446510,\n']","['  ""totalfee"": 2149090,\n']","['  ""txs"": 706,\n']","['  ""utxo_increase"": 676,\n']","['  ""utxo_size_inc"": 61442\n']"
